2026-03-23 16:15:20 | week=1 sw=  level=    | load_week_cache              |   10.82s | 337 teams
2026-03-23 16:15:22 | week=1 sw=a level=9   | load_subweek_state           |    2.26s | 780 players
2026-03-23 16:15:22 | week=1 sw=a level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:15:23 | week=1 sw=a level=3   | load_subweek_state           |    2.53s | 8475 players
2026-03-23 16:15:23 | week=1 sw=a level=3   | build_payloads               |    0.34s | 148 games
2026-03-23 16:15:28 | week=1 sw=a level=9   | engine_call                  |    5.83s | 15 games
2026-03-23 16:15:36 | week=1 sw=a level=9   | phase1_store_results         |    6.87s | 15 results
2026-03-23 16:15:43 | week=1 sw=a level=3   | engine_call                  |   20.27s | 148 games
2026-03-23 16:15:51 | week=1 sw=a level=3   | phase1_store_results         |    7.34s | 148 results
2026-03-23 16:15:55 | week=1 sw=a level=9   | phase2_stat_accum            |    3.63s | 15 results
2026-03-23 16:15:55 | week=1 sw=a level=9   | phase2_position_usage        |    0.56s | 
2026-03-23 16:15:57 | week=1 sw=a level=9   | phase2_stamina_injuries      |    1.27s | 
2026-03-23 16:16:14 | week=1 sw=a level=3   | phase2_stat_accum            |   17.22s | 148 results
2026-03-23 16:16:19 | week=1 sw=a level=3   | phase2_position_usage        |    4.89s | 
2026-03-23 16:16:35 | week=1 sw=a level=3   | phase2_stamina_injuries      |   15.85s | 
2026-03-23 16:16:35 | week=1 sw=a level=    | global_stamina_recovery      |    0.22s | 
2026-03-23 16:16:36 | week=1 sw=b level=9   | load_subweek_state           |    0.55s | 780 players
2026-03-23 16:16:36 | week=1 sw=b level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:16:41 | week=1 sw=b level=9   | engine_call                  |    5.67s | 15 games
2026-03-23 16:16:48 | week=1 sw=b level=9   | phase1_store_results         |    5.83s | 15 results
2026-03-23 16:16:52 | week=1 sw=b level=9   | phase2_stat_accum            |    2.27s | 15 results
2026-03-23 16:16:52 | week=1 sw=b level=9   | phase2_position_usage        |    0.54s | 
2026-03-23 16:16:53 | week=1 sw=b level=9   | phase2_stamina_injuries      |    1.30s | 
2026-03-23 16:16:54 | week=1 sw=b level=    | global_stamina_recovery      |    0.22s | 
2026-03-23 16:16:55 | week=1 sw=c level=9   | load_subweek_state           |    1.02s | 780 players
2026-03-23 16:16:55 | week=1 sw=c level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:16:55 | week=1 sw=c level=3   | load_subweek_state           |    1.50s | 8532 players
2026-03-23 16:16:56 | week=1 sw=c level=3   | build_payloads               |    0.31s | 149 games
2026-03-23 16:17:01 | week=1 sw=c level=9   | engine_call                  |    5.78s | 15 games
2026-03-23 16:17:07 | week=1 sw=c level=9   | phase1_store_results         |    6.26s | 15 results
2026-03-23 16:17:17 | week=1 sw=c level=3   | engine_call                  |   20.99s | 149 games
2026-03-23 16:17:25 | week=1 sw=c level=3   | phase1_store_results         |    7.43s | 149 results
2026-03-23 16:17:28 | week=1 sw=c level=9   | phase2_stat_accum            |    3.41s | 15 results
2026-03-23 16:17:29 | week=1 sw=c level=9   | phase2_position_usage        |    0.57s | 
2026-03-23 16:17:30 | week=1 sw=c level=9   | phase2_stamina_injuries      |    1.26s | 
2026-03-23 16:17:46 | week=1 sw=c level=3   | phase2_stat_accum            |   15.63s | 149 results
2026-03-23 16:17:51 | week=1 sw=c level=3   | phase2_position_usage        |    4.80s | 
2026-03-23 16:18:04 | week=1 sw=c level=3   | phase2_stamina_injuries      |   12.99s | 
2026-03-23 16:18:04 | week=1 sw=c level=    | global_stamina_recovery      |    0.35s | 
2026-03-23 16:18:05 | week=1 sw=d level=9   | load_subweek_state           |    0.45s | 52 players
2026-03-23 16:18:05 | week=1 sw=d level=9   | build_payloads               |    0.00s | 1 games
2026-03-23 16:18:09 | week=1 sw=d level=9   | engine_call                  |    4.30s | 1 games
2026-03-23 16:18:10 | week=1 sw=d level=9   | phase1_store_results         |    0.49s | 1 results
2026-03-23 16:18:11 | week=1 sw=d level=9   | phase2_stat_accum            |    1.11s | 1 results
2026-03-23 16:18:11 | week=1 sw=d level=9   | phase2_position_usage        |    0.24s | 
2026-03-23 16:18:12 | week=1 sw=d level=9   | phase2_stamina_injuries      |    0.34s | 
2026-03-23 16:18:12 | week=1 sw=d level=    | global_stamina_recovery      |    0.14s | 
2026-03-23 16:18:12 | week=1 sw=  level=    | build_week_payloads          |  194.54s | all levels
2026-03-23 16:18:14 | week=1 sw=  level=    | weekly_tick_injuries         |    0.45s | 
2026-03-23 16:18:26 | week=1 sw=  level=    | weekly_books                 |   11.48s | 
2026-03-23 16:18:30 | week=1 sw=  level=    | weekly_waivers               |    4.49s | 
2026-03-23 16:18:34 | week=1 sw=  level=    | weekly_fa_auction            |    4.13s | 
2026-03-23 16:18:53 | week=1 sw=  level=    | weekly_listed_positions      |   18.68s | 
2026-03-23 16:18:53 | week=1 sw=  level=    | weekly_processing_total      |   39.23s | 
2026-03-23 16:18:57 | week=2 sw=  level=    | load_week_cache              |    3.24s | 338 teams
2026-03-23 16:18:58 | week=2 sw=a level=9   | load_subweek_state           |    1.09s | 780 players
2026-03-23 16:18:58 | week=2 sw=a level=9   | build_payloads               |    0.04s | 15 games
2026-03-23 16:18:59 | week=2 sw=a level=3   | load_subweek_state           |    1.72s | 8433 players
2026-03-23 16:18:59 | week=2 sw=a level=3   | build_payloads               |    0.30s | 147 games
2026-03-23 16:19:04 | week=2 sw=a level=9   | engine_call                  |    5.76s | 15 games
2026-03-23 16:19:11 | week=2 sw=a level=9   | phase1_store_results         |    6.08s | 15 results
2026-03-23 16:19:19 | week=2 sw=a level=3   | engine_call                  |   19.69s | 147 games
2026-03-23 16:19:26 | week=2 sw=a level=3   | phase1_store_results         |    7.38s | 147 results
2026-03-23 16:19:29 | week=2 sw=a level=9   | phase2_stat_accum            |    2.64s | 15 results
2026-03-23 16:19:30 | week=2 sw=a level=9   | phase2_position_usage        |    0.56s | 
2026-03-23 16:19:31 | week=2 sw=a level=9   | phase2_stamina_injuries      |    1.38s | 
2026-03-23 16:19:48 | week=2 sw=a level=3   | phase2_stat_accum            |   16.66s | 147 results
2026-03-23 16:19:53 | week=2 sw=a level=3   | phase2_position_usage        |    5.02s | 
2026-03-23 16:20:07 | week=2 sw=a level=3   | phase2_stamina_injuries      |   13.77s | 
2026-03-23 16:20:07 | week=2 sw=a level=    | global_stamina_recovery      |    0.15s | 
2026-03-23 16:20:08 | week=2 sw=b level=9   | load_subweek_state           |    0.51s | 780 players
2026-03-23 16:20:08 | week=2 sw=b level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:20:14 | week=2 sw=b level=9   | engine_call                  |    5.68s | 15 games
